ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,2.619999886,2.62,NTU,51.10122,-114.27975,05/02/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.940000057,3.94,NTU,51.10122,-114.27975,05/30/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,12,12,NTU,51.10122,-114.27975,06/27/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.670000076,6.67,NTU,51.10122,-114.27975,07/25/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.600000024,1.6,NTU,51.10122,-114.27975,08/22/2007  ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.919999957,1.92,NTU,51.10122,-114.27975,09/19/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.5,1.5,NTU,51.10122,-114.27975,10/17/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.420000076,2.42,NTU,51.10122,-114.27975,11/14/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.940000057,1.94,NTU,51.10122,-114.27975,12/12/2007 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.170000076,2.17,NTU,51.10122,-114.27975,01/09/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.669999957,1.67,NTU,51.10122,-114.27975,02/06/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.099999905,2.1,NTU,51.10122,-114.27975,03/05/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.139999986,1.14,NTU,51.10122,-114.27975,04/02/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.099999905,3.1,NTU,51.10122,-114.27975,04/30/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,102,102,NTU,51.10122,-114.27975,05/28/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,9.090000153,9.09,NTU,51.10122,-114.27975,06/25/2008  ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.430000067,3.43,NTU,51.10122,-114.27975,07/23/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.539999962,2.54,NTU,51.10122,-114.27975,08/20/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,09/17/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.600000024,1.6,NTU,51.10122,-114.27975,10/16/2008,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.380000114,2.38,NTU,51.10122,-114.27975,11/12/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.460000038,1.46,NTU,51.10122,-114.27975,12/10/2008 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.850000024,1.85,NTU,51.10122,-114.27975,01/07/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.109999895,3.11,NTU,51.10122,-114.27975,02/04/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.029999971,2.03,NTU,51.10122,-114.27975,03/04/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.25999999,2.26,NTU,51.10122,-114.27975,04/01/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.850000024,1.85,NTU,51.10122,-114.27975,04/29/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.839999914,2.84,NTU,51.10122,-114.27975,05/27/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,5.699999809,5.7,NTU,51.10122,-114.27975,06/24/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.089999914,2.09,NTU,51.10122,-114.27975,07/22/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.599999905,2.6,NTU,51.10122,-114.27975,08/19/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.440000057,1.44,NTU,51.10122,-114.27975,09/16/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.059999943,1.06,NTU,51.10122,-114.27975,10/14/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.059999943,2.06,NTU,51.10122,-114.27975,11/09/2009 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.840000033,1.84,NTU,51.10122,-114.27975,12/10/2009,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.210000038,2.21,NTU,51.10122,-114.27975,01/06/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.840000033,1.84,NTU,51.10122,-114.27975,02/03/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,03/03/2010  ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.309999943,1.31,NTU,51.10122,-114.27975,03/31/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.25999999,2.26,NTU,51.10122,-114.27975,04/28/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.920000076,2.92,NTU,51.10122,-114.27975,05/26/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.139999866,6.14,NTU,51.10122,-114.27975,06/23/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.359999895,2.36,NTU,51.10122,-114.27975,07/21/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.970000029,1.97,NTU,51.10122,-114.27975,08/18/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.220000029,1.22,NTU,51.10122,-114.27975,09/15/2010,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.289999962,2.29,NTU,51.10122,-114.27975,10/13/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.039999962,1.04,NTU,51.10122,-114.27975,11/10/2010 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.959999979,0.96,NTU,51.10122,-114.27975,12/06/2010  ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.959999979,0.96,NTU,51.10122,-114.27975,01/19/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.699999988,0.7,NTU,51.10122,-114.27975,02/15/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.220000029,1.22,NTU,51.10122,-114.27975,03/22/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.579999924,2.58,NTU,51.10122,-114.27975,04/12/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.309999943,2.31,NTU,51.10122,-114.27975,05/10/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,20.29999924,20.3,NTU,51.10122,-114.27975,06/14/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,8.260000229,8.26,NTU,51.10122,-114.27975,07/12/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.450000048,3.45,NTU,51.10122,-114.27975,08/16/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.889999986,1.89,NTU,51.10122,-114.27975,09/15/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.620000005,1.62,NTU,51.10122,-114.27975,10/11/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.590000033,1.59,NTU,51.10122,-114.27975,11/15/2011,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.980000019,0.98,NTU,51.10122,-114.27975,12/13/2011 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.939999998,0.94,NTU,51.10122,-114.27975,01/10/2012 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.110000014,1.11,NTU,51.10122,-114.27975,02/07/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.610000014,1.61,NTU,51.10122,-114.27975,03/06/2012 ,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.820000052,1.82,NTU,51.10122,-114.27975,04/03/2012 ,Turbidity,SUR_BR-BD
