ID,Sample Site,Numeric Result,Formatted Result,Result Units,Latitude (Degrees),Longitude (Degrees),Sample Date,Parameter,Site Key
,Bow River Below Bearspaw Dam,1.279999971,1.28,NTU,51.10122,-114.27975,10/9/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.190000057,1.19,NTU,51.10122,-114.27975,11/6/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.149999976,1.15,NTU,51.10122,-114.27975,12/11/2012,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.460000038,1.46,NTU,51.10122,-114.27975,1/15/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.980000019,1.98,NTU,51.10122,-114.27975,2/12/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,0.899999976,0.9,NTU,51.10122,-114.27975,3/12/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.529999971,1.53,NTU,51.10122,-114.27975,4/9/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.230000019,3.23,NTU,51.10122,-114.27975,5/14/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,6.519999981,6.52,NTU,51.10122,-114.27975,6/11/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,12.69999981,12.7,NTU,51.10122,-114.27975,7/16/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,3.25999999,3.26,NTU,51.10122,-114.27975,8/20/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.809999943,2.81,NTU,51.10122,-114.27975,9/19/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.349999905,2.35,NTU,51.10122,-114.27975,10/8/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,2.00999999,2.01,NTU,51.10122,-114.27975,11/5/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.830000043,1.83,NTU,51.10122,-114.27975,12/11/2013,Turbidity,SUR_BR-BD
,Bow River Below Bearspaw Dam,1.549999952,1.55,NTU,51.10122,-114.27975,1/14/2014,Turbidity,SUR_BR-BD
